,Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
17,Ford,2019.0,Ranger,Ute / Tray,2019 Ford Ranger XLT 3.2 (4X4),USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,8.9 L / 100 km,190723,White / -,"Traralgon, VIC",5 cyl,Ute / Tray, 4 Doors, 5 Seats,37999
18,BMW,2018.0,M2,Coupe,2018 BMW M2 Competition,USED,Automatic,"6 cyl, 3 L",Rear,Premium,9.1 L / 100 km,36413,Blue / -,"Rozelle, NSW",6 cyl,Coupe, 2 Doors, 4 Seats,84800
19,Mitsubishi,2022.0,Triton,Ute / Tray,2022 Mitsubishi Triton GSR (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,8.6 L / 100 km,18407,Grey / -,"Bungalow, QLD",4 cyl,Ute / Tray, 4 Doors, 5 Seats,55990
20,Toyota,2008.0,Tarago,Wagon,2008 Toyota Tarago GLI,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,9.5 L / 100 km,203356,White / -,"Ringwood, VIC",4 cyl,Wagon, 4 Doors, 8 Seats,12888
21,Mercedes-Benz,2016.0,GLC250,SUV,2016 Mercedes-Benz GLC250 D,USED,Automatic,"4 cyl, 2.1 L",AWD,Diesel,5.7 L / 100 km,175728,White / -,"Five Dock, NSW",4 cyl,SUV, 4 Doors, 5 Seats,27999
22,Holden,2015.0,Commodore,Sedan,2015 Holden Commodore SV6 Storm,USED,Automatic,"6 cyl, 3.6 L",Rear,Unleaded,9.5 L / 100 km,90419,Silver / Black,"Murray Bridge, SA",6 cyl,Sedan, 4 Doors, 5 Seats,28880
23,Ford,2017.0,Ranger,Ute / Tray,2017 Ford Ranger FX4 Special Edition,USED,Manual,"5 cyl, 3.2 L",4WD,Diesel,8.3 L / 100 km,131335,Grey / -,"Victoria Park, WA",5 cyl,Ute / Tray, 4 Doors, 5 Seats,52999
24,Mitsubishi,2017.0,Triton,Ute / Tray,2017 Mitsubishi Triton Exceed (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,7.6 L / 100 km,62677,White / -,"Essendon Fields, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,41870
25,Kia,2015.0,Carnival,Wagon,2015 Kia Carnival Platinum,USED,Automatic,"6 cyl, 3.3 L",Front,Unleaded,11.6 L / 100 km,210093,Black / -,"Penrith, NSW",6 cyl,Wagon, 4 Doors, 8 Seats,24950
26,Daihatsu,1997.0,Midget,Edward Lees Imports,1997 Daihatsu Midget II Cargo Cargo,USED,Automatic,-,Other,-,-,23745,Green / Charcoal,"West Ryde, NSW",-,Ute / Tray,,,22888
27,Land,2018.0,Rover,SUV,2018 Land Rover Range Rover Evoque TD4 (132KW) HSE Dynamic,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.1 L / 100 km,67226,Grey / Black,"Albion, QLD",4 cyl,SUV, 5 Doors, 5 Seats,53888
28,Toyota,2021.0,Yaris,SUV,2021 Toyota Yaris Cross GXL Hybrid,USED,Automatic,"3 cyl, 1.5 L",Front,Hybrid,3.8 L / 100 km,23072,Red / Black,"Prospect, SA",3 cyl,SUV, 4 Doors, 5 Seats,39990
29,Hyundai,2019.0,Santa,SUV,2019 Hyundai Santa FE Elite Crdi Satin (awd),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,7.5 L / 100 km,136001,White / -,"Reynella, SA",4 cyl,SUV, 4 Doors, 7 Seats,38990
30,Toyota,2014.0,Estima,Sydney City Traders,2014 Toyota Estima Aeras,USED,Automatic,-,Other,-,-,90390,Grey / Black,"Five Dock, NSW",-,Wagon,,,24995
31,Volkswagen,2018.0,Caravelle,Wagon,2018 Volkswagen Caravelle TDI 340 LWB,USED,Automatic,"4 cyl, 2 L",Front,Diesel,8.2 L / 100 km,126259,White / -,"Jandakot, WA",4 cyl,Wagon, 4 Doors, 9 Seats,38971
32,Holden,2017.0,Equinox,SUV,2017 Holden Equinox LT (fwd),USED,Automatic,"4 cyl, 2 L",Front,Premium,8.2 L / 100 km,127183,Grey / -,"Moorabbin, VIC",4 cyl,SUV, 4 Doors, 5 Seats,20990
33,Volkswagen,2016.0,Tiguan,SUV,2016 Volkswagen Tiguan 132 TSI Comfortline,USED,Automatic,"4 cyl, 2 L",AWD,Premium,7.5 L / 100 km,95312,Silver / -,"Essendon Fields, VIC",4 cyl,SUV, 4 Doors, 5 Seats,27970
34,Skoda,2016.0,Superb,Sedan,2016 Skoda Superb 162 TSI,USED,Automatic,"4 cyl, 2 L",Front,Premium,6.4 L / 100 km,98748,Black / Grey,"Gepps Cross, SA",4 cyl,Sedan, 4 Doors, 5 Seats,24855
35,Volvo,2023.0,Xc,NEW In stock,2023 Volvo Xc 40 Ultimate B5 AWD Dark,NEW,Automatic,-,Other,Premium,-,17,Black / Leather Blond,"Southport, QLD",-,Wagon,,,75837
36,Mazda,2012.0,BT-50,Ute / Tray,2012 Mazda BT-50 XT (4X4),USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,9.2 L / 100 km,199985,Silver / -,"Traralgon, VIC",5 cyl,Ute / Tray, 4 Doors, 5 Seats,26990
37,Nissan,2013.0,Dualis,SUV,2013 Nissan Dualis ST (4X2),USED,Manual,"4 cyl, 2 L",Front,Unleaded,8.1 L / 100 km,218776,Grey / -,"Moorooka, QLD",4 cyl,SUV, 4 Doors, 5 Seats,9995
38,Toyota,2018.0,Kluger,SUV,2018 Toyota Kluger Grande (4X4),USED,Automatic,"6 cyl, 3.5 L",AWD,Unleaded,9.5 L / 100 km,59872,Black / Black,"Brookvale, NSW",6 cyl,SUV, 4 Doors, 7 Seats,49790
39,Mitsubishi,2019.0,ASX,SUV,2019 Mitsubishi ASX ES (2WD),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.6 L / 100 km,60361,Blue / -,"Campbelltown, NSW",4 cyl,SUV, 4 Doors, 5 Seats,23911
40,Nissan,2017.0,Navara,Blackburn Nissan Used,2017 Nissan Navara ST-X,USED,Automatic,-,Other,Diesel,-,170677,Blue / Leather,"Blackburn, VIC",-,Ute / Tray,,,36241
41,Nissan,2015.0,X-Trail,Sydney City Traders,2015 Nissan X-Trail 4WD HYBRID,USED,Automatic,-,Other,-,-,63308,White / Black,"Five Dock, NSW",-,Wagon,,,29995
42,Volkswagen,2020.0,Golf,Wagon,2020 Volkswagen Golf 110 TSI Trendline,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,5.6 L / 100 km,32360,Grey / Black,"Bayswater, WA",4 cyl,Wagon, 4 Doors, 5 Seats,24999
43,Holden,2013.0,UTE,Ute / Tray,2013 Holden UTE SS-V,USED,Manual,"8 cyl, 6 L",Rear,Unleaded,12.3 L / 100 km,59072,Black / Black,"Pinkenba, QLD",8 cyl,Ute / Tray, 2 Doors, 2 Seats,45990
44,Ford,2006.0,Fiesta,Alphamotive,2006 Ford Fiesta LX,USED,Automatic,-,Front,Unleaded,-,225536,Red / Grey,"BAYSWATER NORTH, VIC",-,Hatchback,,,5899
45,Isuzu,2023.0,D-MAX,NEW Available to order,2023 Isuzu D-MAX X-Rider (4X4),NEW,Automatic,"4 cyl, 3 L",4WD,Diesel,8 L / 100 km,- / -,"6 years / 150,000 km",,4 cyl,Ute / Tray, 4 Doors, 5 Seats,58000
46,Nissan,2022.0,X-Trail,SUV,2022 Nissan X-Trail ST (2WD),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,29839,Silver / -,"Campbelltown, NSW",4 cyl,SUV, 4 Doors, 5 Seats,29000
47,Lexus,2018.0,LX570,SUV,2018 Lexus LX570,USED,Automatic,"8 cyl, 5.7 L",4WD,Premium,14.4 L / 100 km,94273,Grey / Black,"Waterloo, NSW",8 cyl,SUV, 4 Doors, 8 Seats,105900
48,Kia,2017.0,Carnival,Wagon,2017 Kia Carnival SLI,USED,Automatic,"6 cyl, 3.3 L",Front,Unleaded,11.6 L / 100 km,61291,Black / Black,"CAMBERWELL, VIC",6 cyl,Wagon, 4 Doors, 8 Seats,38490
49,Nissan,2012.0,Navara,Ute / Tray,2012 Nissan Navara ST (4X4),USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,9.8 L / 100 km,264835,Red / -,"Williamstown, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,13999
50,HSV,2016.0,Clubsport,Sedan,2016 HSV Clubsport R8 LSA,USED,Automatic,"8 cyl, 6.2 L",Rear,Premium,15 L / 100 km,29912,White / -,"Kedron, QLD",8 cyl,Sedan, 4 Doors, 5 Seats,99990
51,Mazda,2018.0,CX-3,SUV,2018 Mazda CX-3 Akari (awd) (5YR),USED,Automatic,"4 cyl, 1.5 L",AWD,Diesel,5.1 L / 100 km,92387,White / Black,"Pinkenba, QLD",4 cyl,SUV, 4 Doors, 5 Seats,29990
52,Kia,2020.0,Cerato,Hatchback,2020 Kia Cerato S,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,53201,Blue / Grey,"Reynella, SA",4 cyl,Hatchback, 5 Doors, 5 Seats,22980
53,Nissan,2010.0,Navara,Ute / Tray,2010 Nissan Navara ST-X (4X4),USED,Automatic,"4 cyl, 2.5 L",4WD,Diesel,10.5 L / 100 km,178000,Red / -,"Windsor, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,19888
54,Jeep,2014.0,Grand,SUV,2014 Jeep Grand Cherokee Overland (4X4),USED,Automatic,"6 cyl, 3 L",4WD,Diesel,7.5 L / 100 km,114424,Grey / Black,"Castle Hill, NSW",6 cyl,SUV, 4 Doors, 5 Seats,29990
55,Subaru,2013.0,XV,SUV,2013 Subaru XV 2.0I-S,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,7.1 L / 100 km,168651,Black / Black,"Thomastown, VIC",4 cyl,SUV, 4 Doors, 5 Seats,16990
56,Toyota,2022.0,C-HR,USED Dealer ad,2022 Toyota C-HR KOBA AWD 1.2L PETROL AUTO CVT WAGON,USED,-,-,Other,-,-,7385,White / -,"Chatswood, NSW",-,Wagon,,,45788
57,Mazda,2023.0,CX-9,Redland Mazda New,2023 Mazda CX-9 Azami (fwd),NEW,Automatic,"4 cyl, 2.5 L",Front,Unleaded,8.4 L / 100 km,-,Red / Walnut Brown Nappa Leather,"Capalaba, QLD",4 cyl,SUV, 4 Doors, 7 Seats,73457
58,Toyota,2019.0,RAV4,SUV,2019 Toyota RAV4 GXL AWD Hybrid,USED,Automatic,"4 cyl, 2.5 L",AWD,Hybrid,4.8 L / 100 km,66228,Silver / -,"Mosman, NSW",4 cyl,SUV, 5 Doors, 5 Seats,44990
59,BMW,2021.0,330I,Sedan,2021 BMW 330I M Sport,USED,Automatic,"4 cyl, 2 L",Rear,Premium,6.4 L / 100 km,26871,Blue / Black,"Hendra, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,61998
60,Hyundai,2014.0,IX35,Jeff Wignall Ford - Frankston,2014 Hyundai IX35 SE,USED,Automatic,-,Front,Unleaded,-,73453,Blue / Leather,"Frankston, VIC",-,Wagon,,,21990
61,Holden,2015.0,Colorado,Ute / Tray,2015 Holden Colorado LS (4X2),USED,Manual,"4 cyl, 2.8 L",Rear,Diesel,7.6 L / 100 km,135022,White / -,"Blair Athol, SA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,23990
62,HSV,2015.0,Senator,Sedan,2015 HSV Senator Signature,USED,Automatic,"8 cyl, 6.2 L",Rear,Premium,13.7 L / 100 km,45699,Silver / Standard Trim,"Maddington, WA",8 cyl,Sedan, 4 Doors, 5 Seats,77888
63,Volvo,2014.0,XC60,SUV,2014 Volvo XC60 T5 Kinetic,USED,Automatic,"4 cyl, 2 L",Front,Premium,7 L / 100 km,106654,Grey / -,"Osborne Park, WA",4 cyl,SUV, 4 Doors, 5 Seats,19888
64,Mitsubishi,2017.0,Outlander,SUV,2017 Mitsubishi Outlander LS Safety Pack (4X4) 5 Seats,USED,Automatic,"4 cyl, 2.4 L",AWD,Unleaded,7.5 L / 100 km,215650,White / Black,"Coorparoo, QLD",4 cyl,SUV, 4 Doors, 5 Seats,16500
65,Mazda,2018.0,BT-50,Ute / Tray,2018 Mazda BT-50 XTR (4X4),USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,9.2 L / 100 km,145038,White / -,"Townsville, QLD",5 cyl,Ute / Tray, 4 Doors, 5 Seats,37888
66,Toyota,2020.0,Corolla,Hatchback,2020 Toyota Corolla ZR Hybrid,USED,Automatic,"4 cyl, 1.8 L",Front,Hybrid,4.2 L / 100 km,87043,Blue / -,"Wollongong, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,39990
67,Hyundai,2013.0,I30,Hatchback,2013 Hyundai I30 Active,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.9 L / 100 km,163958,Red / Black,"Coorparoo, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,13350
68,Jeep,2009.0,Wrangler,SUV,2009 Jeep Wrangler Unlimited Sport (4X4),USED,Automatic,"6 cyl, 3.8 L",4WD,Unleaded,11.9 L / 100 km,141646,- / -,"Pinelands, NT",6 cyl,SUV, 4 Doors, 5 Seats,27990
69,Honda,2023.0,CR-V,SUV,2023 Honda CR-V VTI L (awd) 5 Seats,USED,Automatic,"4 cyl, 1.5 L",AWD,Unleaded,7.4 L / 100 km,1520,Silver / -,"Welshpool, WA",4 cyl,SUV, 4 Doors, 5 Seats,46999
70,Hyundai,2014.0,Santa,SUV,2014 Hyundai Santa FE Highlander Crdi (4X4),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,7.3 L / 100 km,120033,Grey / Black,"Rockingham, WA",4 cyl,SUV, 4 Doors, 7 Seats,28990
71,Hyundai,2019.0,I30,Hatchback,2019 Hyundai I30 Active,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,62825,Black / -,"Wollongong, NSW",4 cyl,Hatchback, 4 Doors, 5 Seats,25990
72,Kia,2019.0,Cerato,Sedan,2019 Kia Cerato S,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,41255,White / Black,"Cessnock, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,24990
73,Holden,2011.0,Commodore,Sedan,2011 Holden Commodore SV6,USED,Manual,"6 cyl, 3.6 L",Rear,Unleaded,9.8 L / 100 km,93413,Black / Grey,"Ferntree Gully, VIC",6 cyl,Sedan, 4 Doors, 5 Seats,19800
74,BMW,2015.0,118D,Hatchback,2015 BMW 118D Sportline,USED,Automatic,"4 cyl, 2 L",Rear,Diesel,4.5 L / 100 km,33841,White / Black,"Liverpool, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,24888
75,Jeep,2014.0,Grand,SUV,2014 Jeep Grand Cherokee Laredo (4X4),USED,Automatic,"6 cyl, 3 L",4WD,Diesel,7.5 L / 100 km,122026,White / -,"Coburg North, VIC",6 cyl,SUV, 4 Doors, 5 Seats,21990
76,Ford,2018.0,Mondeo,Hatchback,2018 Ford Mondeo Ambiente,USED,Automatic,"4 cyl, 2 L",Front,Diesel,5.1 L / 100 km,73078,White / -,"Wangara, WA",4 cyl,Hatchback, 5 Doors, 5 Seats,19990
77,Mercedes-Benz,2017.0,A45,Hatchback,2017 Mercedes-Benz A45 4Matic (fuel Efficient),USED,Automatic,"4 cyl, 2 L",AWD,Premium,6.9 L / 100 km,43082,Blue / -,"Liverpool, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,63950
78,Mercedes-Benz,2016.0,CLS250,Sedan,2016 Mercedes-Benz CLS250 D,USED,Automatic,"4 cyl, 2.1 L",Rear,Diesel,5.4 L / 100 km,63402,Silver / Black,"Boolaroo, NSW",4 cyl,Sedan, 4 Doors, 4 Seats,49800
79,Ford,2016.0,Ranger,Ute / Tray,2016 Ford Ranger XL 2.2 HI-Rider (4X2),USED,Automatic,"4 cyl, 2.2 L",Rear,Diesel,7.5 L / 100 km,95773,White / -,"Arncliffe, NSW",4 cyl,Ute / Tray, 2 Doors, 2 Seats,24990
80,Peugeot,2015.0,4008,SUV,2015 Peugeot 4008 Active (4X2),USED,Manual,"4 cyl, 2 L",Front,Premium,7.7 L / 100 km,125938,Grey / -,"Croydon, NSW",4 cyl,SUV, 4 Doors, 5 Seats,12999
81,Subaru,2012.0,WRX,Hatchback,2012 Subaru WRX (AWD),USED,Manual,"4 cyl, 2.5 L",AWD,Premium,10.7 L / 100 km,82010,Grey / Grey,"Woodridge, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,27990
82,Land,2016.0,Rover,SUV,2016 Land Rover Range Rover Evoque TD4 150 SE,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.1 L / 100 km,73314,Black / -,"Aspley, QLD",4 cyl,SUV, 5 Doors, 5 Seats,36990
83,Mitsubishi,2018.0,Triton,Ute / Tray,2018 Mitsubishi Triton GLS (4X4),USED,Manual,"4 cyl, 2.4 L",4WD,Diesel,7.2 L / 100 km,90000,Black / 2018/11,"Dandenong South, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,40888
84,Holden,2015.0,Calais,Sedan,2015 Holden Calais V,USED,Automatic,"6 cyl, 3.6 L",Rear,Unleaded,9.5 L / 100 km,102440,White / Black,"Hoppers Crossing, VIC",6 cyl,Sedan, 4 Doors, 5 Seats,28888
85,Mitsubishi,2007.0,Lancer,Sedan,2007 Mitsubishi Lancer VR,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.2 L / 100 km,145021,Grey / -,"Loganholme, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,11995
86,Toyota,2018.0,Corolla,Hatchback,2018 Toyota Corolla Ascent Sport (hybrid),USED,Automatic,"4 cyl, 1.8 L",Front,Hybrid,4.2 L / 100 km,81624,White / -,"South Hurstville, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,30990
87,Jeep,2009.0,Grand,SUV,2009 Jeep Grand Cherokee Limited (4X4),USED,Automatic,"8 cyl, 4.7 L",4WD,Unleaded,13.9 L / 100 km,264060,Grey / Black,"Wangara, WA",8 cyl,SUV, 4 Doors, 5 Seats,9990
88,Lexus,2019.0,RX300,SUV,2019 Lexus RX300 Luxury + Enhancement Pack,USED,Automatic,"4 cyl, 2 L",Front,Premium,8.1 L / 100 km,41988,Silver / Black,"Taree, NSW",4 cyl,SUV, 4 Doors, 5 Seats,52888
89,Kia,2022.0,Stonic,SUV,2022 Kia Stonic S,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.7 L / 100 km,7361,White / Grey,"Warwick Farm, NSW",4 cyl,SUV, 4 Doors, 5 Seats,28945
90,Hyundai,2017.0,Tucson,SUV,2017 Hyundai Tucson Active X (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9 L / 100 km,74878,Black / -,"Windsor, NSW",4 cyl,SUV, 4 Doors, 5 Seats,26990
91,Hyundai,2019.0,I30,Hatchback,2019 Hyundai I30 Active,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,53381,Silver / -,"Morningside, QLD",4 cyl,Hatchback, 4 Doors, 5 Seats,24190
92,BMW,2009.0,Z4,Convertible,2009 BMW Z4 Sdrive 35I,USED,Automatic,"6 cyl, 3 L",Rear,Premium,9.4 L / 100 km,135000,Grey / -,"Slacks Creek, QLD",6 cyl,Convertible, 2 Doors, 2 Seats,29999
93,Honda,2007.0,Accord,Sedan,2007 Honda Accord Euro Limited Edition,USED,Automatic,"4 cyl, 2.4 L",Front,Premium,9.4 L / 100 km,155254,Blue / -,"Slacks Creek, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,12990
94,Toyota,2019.0,Hilux,Ute / Tray,2019 Toyota Hilux Rugged X (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8.5 L / 100 km,79979,Silver / Black,"Cessnock, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,63990
95,Kia,2020.0,Sportage,SUV,2020 Kia Sportage S (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9 L / 100 km,36000,Black / -,"South Nowra, NSW",4 cyl,SUV, 4 Doors, 5 Seats,31990
96,Lexus,2016.0,IS200T,Sedan,2016 Lexus IS200T F Sport,USED,Automatic,"4 cyl, 2 L",Rear,Premium,7.5 L / 100 km,68031,Silver / -,"Coburg North, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,33990
97,Mitsubishi,2016.0,Outlander,SUV,2016 Mitsubishi Outlander LS (4X2),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.6 L / 100 km,70075,Red / -,"Nailsworth, SA",4 cyl,SUV, 4 Doors, 5 Seats,25980
98,Renault,2023.0,Trafic,NEW Available to order,2023 Renault Trafic L2 LWB Crew Lifestyle,NEW,Automatic,"4 cyl, 2 L",Front,Diesel,6.5 L / 100 km,- / -,"5 years / 200,000 km",,4 cyl,Commercial, 4 Doors, 6 Seats,63000
99,BMW,2010.0,Z4,Convertible,2010 BMW Z4 Sdrive 30I,USED,Automatic,"6 cyl, 3 L",Rear,Premium,8.3 L / 100 km,51778,Black / -,"Laverton North, VIC",6 cyl,Convertible, 2 Doors, 2 Seats,44990
100,Volkswagen,2018.0,Polo,Hatchback,2018 Volkswagen Polo 85 TSI Comfortline,USED,Automatic,"3 cyl, 1 L",Front,Premium,4.9 L / 100 km,50455,White / -,"Wollongong, NSW",3 cyl,Hatchback, 5 Doors, 5 Seats,24888
101,Mercedes-Benz,2015.0,CLS250,Sedan,2015 Mercedes-Benz CLS250 D,USED,Automatic,"4 cyl, 2.1 L",Rear,Diesel,5.4 L / 100 km,89170,Silver / -,"Mansfield, QLD",4 cyl,Sedan, 4 Doors, 4 Seats,39800
102,Holden,2017.0,Colorado,Ute / Tray,2017 Holden Colorado LS (4X2),USED,Automatic,"4 cyl, 2.8 L",Rear,Diesel,8.8 L / 100 km,233069,White / Black,"Cabramatta, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,21990
103,Mitsubishi,2015.0,Outlander,SUV,2015 Mitsubishi Outlander Exceed (4X4),USED,Automatic,"4 cyl, 2.3 L",AWD,Diesel,5.8 L / 100 km,109788,Grey / -,"Blacktown, NSW",4 cyl,SUV, 4 Doors, 7 Seats,25888
104,Mazda,2015.0,3,Sedan,2015 Mazda 3 Touring,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,5.7 L / 100 km,197191,Grey / -,"Five Dock, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,12999
105,Land,2020.0,Rover,SUV,2020 Land Rover Range Rover Velar P250 R-Dynamic S (184KW),USED,Automatic,"4 cyl, 2 L",AWD,Premium,7.3 L / 100 km,14990,Grey / Black,"Chatswood, NSW",4 cyl,SUV, 4 Doors, 5 Seats,95880
106,Kia,2013.0,RIO,Hatchback,2013 Kia RIO SI,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6.1 L / 100 km,134694,Blue / -,"Morley, WA",4 cyl,Hatchback, 5 Doors, 5 Seats,12998
107,Renault,2019.0,Koleos,SUV,2019 Renault Koleos ZEN X-Tronic (4X2),USED,Automatic,"4 cyl, 2.5 L",Front,Premium,8.1 L / 100 km,59002,White / Black,"Melville, WA",4 cyl,SUV, 4 Doors, 5 Seats,27990
